IID,comb_mass,day,rna_sampled
1088,29.53,3,yes
1089,24.27,3,yes
1090,15.32,3,yes
1091,15.03,3,yes
1093,22.45,3,yes
1095,22,3,no
1099,16.55,3,no
1101,19.64,3,no
1102,19.17,3,no
1104,14.84,3,yes
1105,21.48,3,no
1108,24.25,3,yes
1109,20.78,3,no
1110,20.16,3,no
1115,16.55,3,no
1116,15.49,3,no
1117,11.73,3,yes
1118,17.39,3,no
1120,12.23,3,no
1122,24.1,3,yes
1123,24.12,3,no
1124,22.17,3,yes
1125,14.19,3,no
1126,23.87,3,no
1129,13.73,3,yes
1132,17.76,3,no
1133,14.65,3,yes
1135,17.69,3,no
1138,23.89,3,no
1139,19.33,3,no
1141,19.17,3,no
1142,16.04,3,no
1143,16.7,3,no
1146,11.5,3,no
1147,21.39,3,no
1148,20.65,3,no
1150,14.31,3,no
1151,29.02,3,no
1152,28.39,3,no
1153,19.13,3,no
1156,16.34,3,no
1159,32.68,3,no
1160,31.86,3,no
1162,22.86,3,no
1163,16.98,3,no
1164,20.77,3,no
1165,18.62,3,no
1167,23.13,3,no
1168,14.9,3,no
1169,26.72,3,no
1170,29.53,3,no
1171,16.5,3,no
1172,17.43,3,no
1174,30.96,3,no
1175,28.16,3,no
1178,13.46,3,no
1179,19.29,3,no
1180,29.64,3,no
1181,15.17,3,no
1182,13.3,3,no
1183,15.02,3,no
1185,10.4,3,no
1188,11.08,3,no
1189,12.8,3,no
1191,15.43,3,no
1192,16.12,3,no
1193,17.17,3,no
1194,9.58,3,no
1195,19.48,3,no
1196,26.7,3,no
1197,13.84,3,no
1200,17.88,3,no
1201,23.71,3,no
1202,14.35,3,no
1203,19.3,3,no
1204,26.57,3,no
1206,16.76,3,no
1208,15.99,3,no
1209,30.32,3,no
1211,9.55,3,no
1213,27.7,3,no
1214,21.07,3,no
1216,19.67,3,no
1217,13.72,3,no
1218,16.47,3,no
1220,19.38,3,no
1221,23.3,3,no
1222,17,3,no
1223,21.32,3,no
1224,20.38,3,no
1225,33.39,3,no
1226,17.16,3,no
1229,15.53,3,no
1230,18.91,3,no
1231,14.42,3,no
1232,29.12,3,no
1234,25.05,3,no
1235,13.79,3,no
1236,21.22,3,no
1237,18.41,3,no
1238,20.61,3,no
1241,10.41,3,no
1242,26.79,3,no
1244,23.03,3,no
1245,24.45,3,no
1246,26.37,3,no
1247,20.01,3,no
1248,10.54,3,no
1249,21.68,3,no
1250,14.08,3,no
1251,16.77,3,no
1252,18.08,3,no
1254,15.36,3,no
1256,20.88,3,no
