"IID","breed","comb_mass"
650,"LSL",12.3
652,"Bovans",30.7
653,"LSL",21.85
655,"Bovans",35.4
656,"Bovans",27.9
658,"LSL",37.95
660,"Bovans",14.21
661,"LSL",23.99
1003,"LSL",12.75
1004,"LSL",18.76
1006,"LSL",33.51
1007,"LSL",11.88
1008,"LSL",24.81
1009,"LSL",23.46
1010,"LSL",18.14
1011,"LSL",28.18
1012,"LSL",13.81
1013,"LSL",25.54
1014,"LSL",10.21
1015,"LSL",30.28
1016,"LSL",20.52
1017,"LSL",18.65
1019,"LSL",18.96
1020,"LSL",13.35
1022,"Bovans",16.75
1023,"Bovans",10.25
1026,"Bovans",30.96
1027,"Bovans",24.92
1030,"Bovans",24.33
1032,"Bovans",19.42
1033,"Bovans",19.16
1035,"Bovans",26.88
1037,"Bovans",14.42
1042,"Bovans",19.9
1044,"Bovans",13.42
1045,"Bovans",21.84
1046,"Bovans",21.6
1047,"Bovans",23.35
1048,"Bovans",22.83
1049,"Bovans",21.6
1050,"Bovans",16.37
1052,"Bovans",19.16
1054,"Bovans",19.98
1055,"Bovans",16.92
1056,"Bovans",25.96
1059,"Bovans",20.7
1061,"LSL",26.8
1062,"LSL",16.66
1063,"LSL",20.64
1065,"LSL",19.35
1066,"LSL",15.76
1067,"LSL",19.37
1069,"LSL",17.46
1070,"LSL",13.53
1071,"LSL",17.06
1072,"LSL",19.47
1073,"LSL",14.33
1074,"LSL",17.81
1076,"LSL",17.54
1079,"LSL",17.5
1080,"LSL",12.56
1082,"LSL",17.77
1083,"LSL",12.65
1084,"LSL",17.1
1085,"LSL",15.28
1086,"LSL",23.66
1087,"LSL",14.43
1088,"LSL",29.53
1089,"LSL",24.27
1090,"LSL",15.32
1091,"LSL",15.03
1093,"LSL",22.45
1095,"LSL",22
1101,"Bovans",19.64
1102,"Bovans",19.17
1104,"Bovans",14.84
1105,"Bovans",21.48
1109,"Bovans",20.78
1110,"Bovans",20.16
1115,"Bovans",16.55
1116,"Bovans",15.49
1117,"Bovans",11.73
1118,"Bovans",17.39
1120,"Bovans",12.23
1122,"LSL",24.1
1123,"LSL",24.12
1124,"LSL",22.17
1125,"LSL",14.19
1126,"LSL",23.87
1129,"LSL",13.73
1132,"LSL",17.76
1135,"LSL",17.69
1138,"LSL",23.89
1139,"LSL",19.33
1141,"LSL",19.17
1142,"LSL",16.04
1143,"LSL",16.7
1146,"LSL",11.5
1147,"LSL",21.39
1148,"LSL",20.65
1150,"LSL",14.31
1151,"LSL",29.02
1152,"LSL",28.39
1153,"LSL",19.13
1156,"LSL",16.34
1159,"LSL",32.68
1160,"LSL",31.86
1162,"Bovans",22.86
1163,"Bovans",16.98
1164,"Bovans",20.77
1165,"Bovans",18.62
1167,"Bovans",23.13
1168,"Bovans",14.9
1169,"Bovans",26.72
1170,"Bovans",29.53
1171,"Bovans",16.5
1172,"Bovans",17.43
1174,"Bovans",30.96
1175,"Bovans",28.16
1178,"Bovans",13.46
1179,"Bovans",19.29
1180,"Bovans",29.64
1181,"LSL",15.17
1183,"LSL",15.02
1185,"LSL",10.4
1188,"LSL",11.08
1189,"LSL",12.8
1191,"LSL",15.43
1192,"LSL",16.12
1193,"LSL",17.17
1194,"LSL",9.58
1195,"LSL",19.48
1196,"LSL",26.7
1197,"LSL",13.84
1200,"LSL",17.88
1201,"LSL",23.71
1202,"LSL",14.35
1203,"LSL",19.3
1204,"LSL",26.57
1206,"LSL",16.76
1208,"LSL",15.99
1209,"LSL",30.32
1211,"LSL",9.55
1213,"LSL",27.7
1214,"LSL",21.07
1216,"LSL",19.67
1217,"LSL",13.72
1220,"LSL",19.38
1222,"Bovans",17
1223,"Bovans",21.32
1224,"Bovans",20.38
1225,"Bovans",33.39
1226,"Bovans",17.16
1230,"Bovans",18.91
1231,"Bovans",14.42
1232,"Bovans",29.12
1234,"Bovans",25.05
1235,"Bovans",13.79
1236,"Bovans",21.22
1237,"Bovans",18.41
1238,"Bovans",20.61
1242,"Bovans",26.79
1244,"Bovans",23.03
1245,"Bovans",24.45
1246,"Bovans",26.37
1247,"Bovans",20.01
1248,"Bovans",10.54
1249,"Bovans",21.68
1250,"Bovans",14.08
1251,"Bovans",16.77
1252,"Bovans",18.08
1254,"Bovans",15.36
1256,"Bovans",20.88
1257,"Bovans",18.07
1258,"Bovans",22
1260,"Bovans",22.12
1261,"Bovans",20.04
1263,"Bovans",21.06
1264,"Bovans",21.31
1265,"Bovans",22.74
1267,"Bovans",24.89
1270,"Bovans",20.31
1271,"Bovans",15.8
1273,"Bovans",15.49
1274,"Bovans",18.47
1275,"Bovans",17.66
1278,"Bovans",15.49
1281,"LSL",17.35
1282,"LSL",25.9
1283,"LSL",12.02
1286,"LSL",17.49
1287,"LSL",30.87
1290,"LSL",23.52
1291,"LSL",10.47
1293,"LSL",10.65
1294,"LSL",20.02
1296,"LSL",16.6
1299,"LSL",16.45
1300,"LSL",17.55
1301,"Bovans",31.86
1303,"Bovans",22.71
1305,"Bovans",8.98
1306,"Bovans",15.22
1307,"Bovans",24.41
1310,"Bovans",18.03
1311,"Bovans",10.95
1314,"Bovans",28.13
1315,"Bovans",17.45
1316,"Bovans",27.89
1317,"Bovans",17.85
1318,"Bovans",7.59
1319,"Bovans",17.22
1321,"LSL",11.72
1324,"LSL",17.81
1325,"LSL",12.58
1326,"LSL",21.58
1327,"LSL",11.79
1330,"LSL",55.33
1332,"LSL",16.82
1334,"LSL",13.41
1336,"LSL",15.76
1337,"LSL",33.76
1341,"Bovans",15.45
1342,"Bovans",35.46
1344,"Bovans",19.61
1345,"Bovans",22.22
1346,"Bovans",17.67
1347,"Bovans",17.03
1348,"Bovans",14.97
1349,"Bovans",21.41
1354,"Bovans",23.74
1355,"Bovans",22.32
1356,"Bovans",15.69
1360,"Bovans",21.19
1366,"LSL",21.57
1370,"LSL",26.32
1371,"LSL",22.52
1372,"LSL",22.23
1373,"Bovans",22.36
1374,"Bovans",18.69
1375,"Bovans",9.44
1379,"Bovans",20.29
1381,"Bovans",25.16
1382,"Bovans",21.44
1386,"Bovans",14.88
1387,"Bovans",25.97
1389,"Bovans",19.62
1390,"Bovans",11.34
1391,"Bovans",16.15
1393,"Bovans",19.54
1394,"Bovans",28.65
1397,"Bovans",20.37
1398,"Bovans",36.3
1399,"Bovans",28.8
1400,"Bovans",19.65
1401,"Bovans",25.7
1402,"Bovans",20.85
1403,"LSL",10.74
1405,"LSL",20.19
1406,"LSL",17.97
1407,"LSL",15.86
1410,"LSL",29.39
1411,"LSL",18.12
1415,"LSL",18.35
1416,"LSL",18.65
1418,"LSL",16.08
1419,"LSL",16.58
1420,"LSL",24.81
1421,"LSL",20.08
1422,"LSL",17.1
1423,"LSL",24.34
1424,"LSL",25.26
1425,"LSL",21.95
1427,"Bovans",21.88
1428,"Bovans",18.74
1431,"Bovans",14.89
1433,"Bovans",17.48
1434,"Bovans",12.2
1435,"Bovans",28.19
1438,"Bovans",30.43
1439,"Bovans",24.31
1440,"Bovans",19.22
1443,"LSL",28.21
1444,"LSL",28.51
1445,"LSL",21.29
1446,"LSL",24.46
1447,"LSL",19.02
1448,"LSL",22.29
1451,"LSL",29.07
1452,"LSL",16.71
1453,"LSL",23.56
1454,"LSL",17.12
1456,"LSL",29.14
1459,"LSL",16.99
1460,"LSL",20.8
1461,"LSL",15.38
1462,"LSL",22.81
1463,"LSL",23.8
1466,"LSL",20
1467,"LSL",15.74
1468,"LSL",19.36
1469,"LSL",14.43
1471,"LSL",24.04
1473,"LSL",11.81
1474,"Bovans",23.76
1476,"Bovans",19.82
1477,"Bovans",18.31
1483,"Bovans",25.93
1484,"Bovans",13.41
1485,"Bovans",17.7
1486,"Bovans",20.49
