IID,load_N,cage.pen,feed,breed,group,weight,comb_mass
244,176,CAGE,SLU-försök,Bovans,2602,1.767,25.68
246,131,CAGE,SLU-kontroll,LSL,2603,1.641,24.64
247,113,CAGE,SLU-försök,LSL,2604,1.715,17.88
248,138,CAGE,SLU-försök,LSL,2604,1.743,21.07
249,209,CAGE,SLU-försök,Bovans,2605,1.813,20.28
250,117,CAGE,SLU-försök,Bovans,2605,1.769,22.59
251,188,CAGE,SLU-kontroll,LSL,2606,2.228,24.17
252,146,CAGE,SLU-kontroll,LSL,2606,1.903,26.36
253,161,CAGE,SLU-försök,LSL,2607,1.779,24.36
254,NA,CAGE,SLU-försök,LSL,2607,1.975,23.16
255,155,CAGE,SLU-försök,Bovans,2608,1.834,22.38
256,134,CAGE,SLU-försök,Bovans,2608,2.058,33.15
257,155,CAGE,SLU-kontroll,LSL,2609,2.013,28.3
260,131,CAGE,SLU-försök,LSL,2610,1.781,18.64
261,174,CAGE,SLU-försök,Bovans,2611,2.224,31.45
262,142,CAGE,SLU-försök,Bovans,2611,1.914,22.35
263,125,CAGE,SLU-kontroll,LSL,2612,1.842,20.77
264,175,CAGE,SLU-kontroll,LSL,2612,2.011,30.43
265,134,CAGE,SLU-kontroll,LSL,2616,2.197,17.21
267,160,CAGE,SLU-kontroll,Bovans,2617,1.445,24.82
268,219,CAGE,SLU-kontroll,Bovans,2617,1.89,39.14
269,194,CAGE,SLU-försök,LSL,2618,2.096,11.72
274,204,CAGE,SLU-kontroll,Bovans,2620,2.086,21.5
275,146,CAGE,SLU-försök,LSL,2621,1.835,28.44
276,166,CAGE,SLU-försök,LSL,2621,1.734,21.9
277,101,CAGE,SLU-kontroll,LSL,2622,1.809,24.35
278,178,CAGE,SLU-kontroll,LSL,2622,1.913,21.5
279,201,CAGE,SLU-kontroll,Bovans,2623,1.795,14.83
281,140,CAGE,SLU-försök,LSL,2624,1.68,22.57
282,113,CAGE,SLU-försök,LSL,2624,1.754,19.94
283,221,CAGE,SLU-kontroll,LSL,2625,2.297,36.86
286,121,CAGE,SLU-kontroll,Bovans,2626,1.868,25.9
289,113,CAGE,SLU-kontroll,Bovans,2103,1.674,16.1
290,220,CAGE,SLU-kontroll,Bovans,2103,1.609,26.96
291,144,CAGE,SLU-försök,LSL,2117,2.025,25.11
292,147,CAGE,SLU-försök,Bovans,2124,1.956,27.7
293,121,CAGE,SLU-försök,LSL,2126,1.628,22.8
294,152,CAGE,SLU-försök,Bovans,2127,1.953,26.85
295,141,CAGE,SLU-försök,LSL,2207,1.8,18.31
297,154,CAGE,SLU-försök,LSL,2212,1.854,19.97
299,155,CAGE,SLU-kontroll,LSL,2222,1.813,24.17
300,114,CAGE,SLU-kontroll,Bovans,2226,1.744,27.9
301,104,CAGE,SLU-försök,LSL,2302,1.509,25.47
303,149,CAGE,SLU-kontroll,Bovans,2304,2.067,26.73
304,148,CAGE,SLU-försök,LSL,2311,1.794,27.57
307,163,CAGE,SLU-kontroll,LSL,2320,2.009,29.51
309,150,CAGE,SLU-kontroll,LSL,2323,2.102,23.45
310,169,CAGE,SLU-försök,Bovans,2325,2.066,40.17
311,181,CAGE,SLU-kontroll,LSL,2326,1.999,17.2
312,121,CAGE,SLU-försök,Bovans,2327,2.022,29.05
313,145,CAGE,SLU-kontroll,LSL,2404,2.059,31.86
314,137,CAGE,SLU-kontroll,Bovans,2405,1.766,12.89
315,165,CAGE,SLU-kontroll,Bovans,2408,1.883,14.77
316,159,CAGE,SLU-kontroll,Bovans,2411,2.153,30.44
317,133,CAGE,SLU-försök,LSL,2416,1.647,19.16
318,131,CAGE,SLU-försök,Bovans,2420,1.61,22
319,133,CAGE,SLU-kontroll,LSL,2421,1.67,29.78
320,94,CAGE,SLU-kontroll,LSL,2421,1.798,31.41
321,177,CAGE,SLU-försök,LSL,2422,1.767,17.32
322,157,CAGE,SLU-försök,Bovans,2423,1.985,27.45
323,150,CAGE,SLU-försök,LSL,2425,1.986,22.99
324,134,CAGE,SLU-försök,LSL,2425,1.991,32.19
325,122,CAGE,SLU-försök,Bovans,2426,1.971,23.28
326,137,CAGE,SLU-kontroll,Bovans,2507,1.903,27.68
327,166,CAGE,SLU-kontroll,Bovans,2509,1.828,28.11
328,120,CAGE,SLU-kontroll,Bovans,2510,1.7,32.61
330,127,CAGE,SLU-kontroll,LSL,2511,1.887,19.85
331,129,CAGE,SLU-försök,Bovans,2516,1.796,29.51
332,162,CAGE,SLU-försök,Bovans,2516,1.751,25.35
333,107,CAGE,SLU-försök,Bovans,2518,1.699,24.04
334,109,CAGE,SLU-försök,Bovans,2519,1.987,33.1
335,136,CAGE,SLU-försök,Bovans,2522,1.945,30.49
336,132,CAGE,SLU-försök,LSL,2523,1.762,25.85
337,124,CAGE,SLU-försök,Bovans,2525,1.792,19.99
339,151,CAGE,SLU-försök,LSL,2601,1.566,21.06
341,162,CAGE,SLU-kontroll,LSL,2609,1.813,23.2
343,135,CAGE,SLU-försök,LSL,2618,1.659,29.37
344,158,CAGE,SLU-kontroll,LSL,2619,1.799,24.84
345,148,CAGE,SLU-kontroll,Bovans,2620,1.659,32.69
346,147,CAGE,SLU-kontroll,Bovans,2623,2.023,27.58
349,205,CAGE,SLU-försök,LSL,2627,2.191,25.87
350,258,CAGE,SLU-kontroll,LSL,2619,1.445,24.14
