"IID","feed","cage.pen","breed","weight","comb_mass","group"
262,"SLU-försök","CAGE","Bovans",1.914,22.35,2611
263,"SLU-kontroll","CAGE","LSL",1.842,20.77,2612
264,"SLU-kontroll","CAGE","LSL",2.011,30.43,2612
265,"SLU-kontroll","CAGE","LSL",2.197,17.21,2616
267,"SLU-kontroll","CAGE","Bovans",1.445,24.82,2617
268,"SLU-kontroll","CAGE","Bovans",1.89,39.14,2617
269,"SLU-försök","CAGE","LSL",2.096,11.72,2618
274,"SLU-kontroll","CAGE","Bovans",2.086,21.5,2620
275,"SLU-försök","CAGE","LSL",1.835,28.44,2621
276,"SLU-försök","CAGE","LSL",1.734,21.9,2621
277,"SLU-kontroll","CAGE","LSL",1.809,24.35,2622
278,"SLU-kontroll","CAGE","LSL",1.913,21.5,2622
279,"SLU-kontroll","CAGE","Bovans",1.795,14.83,2623
281,"SLU-försök","CAGE","LSL",1.68,22.57,2624
282,"SLU-försök","CAGE","LSL",1.754,19.94,2624
283,"SLU-kontroll","CAGE","LSL",2.297,36.86,2625
286,"SLU-kontroll","CAGE","Bovans",1.868,25.9,2626
289,"SLU-kontroll","CAGE","Bovans",1.674,16.1,2103
290,"SLU-kontroll","CAGE","Bovans",1.609,26.96,2103
291,"SLU-försök","CAGE","LSL",2.025,25.11,2117
292,"SLU-försök","CAGE","Bovans",1.956,27.7,2124
293,"SLU-försök","CAGE","LSL",1.628,22.8,2126
294,"SLU-försök","CAGE","Bovans",1.953,26.85,2127
295,"SLU-försök","CAGE","LSL",1.8,18.31,2207
297,"SLU-försök","CAGE","LSL",1.854,19.97,2212
299,"SLU-kontroll","CAGE","LSL",1.813,24.17,2222
300,"SLU-kontroll","CAGE","Bovans",1.744,27.9,2226
301,"SLU-försök","CAGE","LSL",1.509,25.47,2302
303,"SLU-kontroll","CAGE","Bovans",2.067,26.73,2304
304,"SLU-försök","CAGE","LSL",1.794,27.57,2311
307,"SLU-kontroll","CAGE","LSL",2.009,29.51,2320
309,"SLU-kontroll","CAGE","LSL",2.102,23.45,2323
310,"SLU-försök","CAGE","Bovans",2.066,40.17,2325
311,"SLU-kontroll","CAGE","LSL",1.999,17.2,2326
312,"SLU-försök","CAGE","Bovans",2.022,29.05,2327
313,"SLU-kontroll","CAGE","LSL",2.059,31.86,2404
314,"SLU-kontroll","CAGE","Bovans",1.766,12.89,2405
315,"SLU-kontroll","CAGE","Bovans",1.883,14.77,2408
316,"SLU-kontroll","CAGE","Bovans",2.153,30.44,2411
317,"SLU-försök","CAGE","LSL",1.647,19.16,2416
318,"SLU-försök","CAGE","Bovans",1.61,22,2420
319,"SLU-kontroll","CAGE","LSL",1.67,29.78,2421
320,"SLU-kontroll","CAGE","LSL",1.798,31.41,2421
321,"SLU-försök","CAGE","LSL",1.767,17.32,2422
322,"SLU-försök","CAGE","Bovans",1.985,27.45,2423
323,"SLU-försök","CAGE","LSL",1.986,22.99,2425
324,"SLU-försök","CAGE","LSL",1.991,32.19,2425
325,"SLU-försök","CAGE","Bovans",1.971,23.28,2426
326,"SLU-kontroll","CAGE","Bovans",1.903,27.68,2507
327,"SLU-kontroll","CAGE","Bovans",1.828,28.11,2509
328,"SLU-kontroll","CAGE","Bovans",1.7,32.61,2510
330,"SLU-kontroll","CAGE","LSL",1.887,19.85,2511
331,"SLU-försök","CAGE","Bovans",1.796,29.51,2516
332,"SLU-försök","CAGE","Bovans",1.751,25.35,2516
333,"SLU-försök","CAGE","Bovans",1.699,24.04,2518
334,"SLU-försök","CAGE","Bovans",1.987,33.1,2519
335,"SLU-försök","CAGE","Bovans",1.945,30.49,2522
336,"SLU-försök","CAGE","LSL",1.762,25.85,2523
337,"SLU-försök","CAGE","Bovans",1.792,19.99,2525
339,"SLU-försök","CAGE","LSL",1.566,21.06,2601
341,"SLU-kontroll","CAGE","LSL",1.813,23.2,2609
343,"SLU-försök","CAGE","LSL",1.659,29.37,2618
344,"SLU-kontroll","CAGE","LSL",1.799,24.84,2619
345,"SLU-kontroll","CAGE","Bovans",1.659,32.69,2620
346,"SLU-kontroll","CAGE","Bovans",2.023,27.58,2623
349,"SLU-försök","CAGE","LSL",2.191,25.87,2627
350,"SLU-kontroll","CAGE","LSL",1.445,24.14,2619
351,"SLU-försök","CAGE","LSL",1.689,18.03,2627
352,"SLU-kontroll","CAGE","LSL",1.907,20.74,2511
354,"SLU-kontroll","CAGE","LSL",1.747,31.73,2603
356,"SLU-kontroll","CAGE","LSL",2.213,35.98,2625
357,"SLU-försök","CAGE","Bovans",1.814,23.9,2113
358,"SLU-försök","CAGE","Bovans",2.048,34.93,2113
359,"SLU-kontroll","CAGE","LSL",2.135,24.8,2114
360,"SLU-kontroll","CAGE","LSL",1.818,25.72,2114
361,"SLU-kontroll","CAGE","Bovans",1.838,25.68,2115
362,"SLU-kontroll","CAGE","Bovans",1.842,22.72,2115
363,"SLU-kontroll","CAGE","Bovans",1.962,32.79,2128
365,"SLU-försök","CAGE","LSL",1.943,17.99,2129
366,"SLU-försök","CAGE","LSL",1.814,20.66,2129
367,"SLU-försök","CAGE","Bovans",1.907,17.83,2130
368,"SLU-försök","CAGE","Bovans",1.814,22.58,2130
369,"SLU-försök","CAGE","LSL",1.928,27.5,2213
370,"SLU-försök","CAGE","LSL",1.902,33.79,2213
371,"SLU-försök","CAGE","Bovans",1.891,27.01,2214
373,"SLU-försök","CAGE","LSL",1.967,31.83,2215
374,"SLU-försök","CAGE","LSL",1.556,16.35,2215
375,"SLU-kontroll","CAGE","LSL",1.838,26.57,2228
377,"SLU-kontroll","CAGE","Bovans",1.961,34.83,2229
378,"SLU-kontroll","CAGE","Bovans",1.778,25.58,2229
381,"SLU-kontroll","CAGE","Bovans",1.94,32.27,2313
382,"SLU-kontroll","CAGE","Bovans",1.814,25.57,2313
383,"SLU-försök","CAGE","LSL",2.077,26.1,2314
384,"SLU-försök","CAGE","LSL",1.5,24.63,2314
385,"SLU-kontroll","CAGE","Bovans",1.464,21.88,2315
386,"SLU-kontroll","CAGE","Bovans",1.895,26.34,2315
387,"SLU-försök","CAGE","Bovans",1.729,29.19,2328
389,"SLU-kontroll","CAGE","LSL",2.023,26.52,2329
390,"SLU-kontroll","CAGE","LSL",1.629,34,2329
391,"SLU-försök","CAGE","Bovans",2.16,24.68,2330
